SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203076,0022201228,"APR 09, 2023",LAL vs. UTA,W,34,7,15,0.467,0,0,0.0,2,2,1.0,3,10,13,3,3,4,4,2,16,10,1
22022,203076,0022201212,"APR 07, 2023",LAL vs. PHX,W,34,4,12,0.333,0,1,0.0,6,7,0.857,4,17,21,4,0,3,1,1,14,17,1
22022,203076,0022201196,"APR 05, 2023",LAL @ LAC,L,32,7,14,0.5,0,1,0.0,3,4,0.75,4,7,11,3,1,2,1,2,17,9,1
22022,203076,0022201186,"APR 04, 2023",LAL @ UTA,W,42,7,16,0.438,0,0,0.0,7,12,0.583,4,10,14,6,2,2,1,3,21,4,1
22022,203076,0022201171,"APR 02, 2023",LAL @ HOU,W,30,15,20,0.75,0,0,0.0,10,12,0.833,4,5,9,1,0,2,0,0,40,2,1
22022,203076,0022201157,"MAR 31, 2023",LAL @ MIN,W,37,15,26,0.577,0,2,0.0,8,10,0.8,8,9,17,0,1,2,3,3,38,5,1
22022,203076,0022201140,"MAR 29, 2023",LAL @ CHI,W,39,13,20,0.65,1,1,1.0,11,14,0.786,5,4,9,4,2,2,0,1,38,16,1
22022,203076,0022201114,"MAR 26, 2023",LAL vs. CHI,L,36,6,8,0.75,0,0,0.0,3,6,0.5,2,7,9,5,1,1,2,5,15,7,1
22022,203076,0022201106,"MAR 24, 2023",LAL vs. OKC,W,36,15,21,0.714,0,1,0.0,7,11,0.636,5,10,15,1,1,0,1,1,37,8,1
22022,203076,0022201092,"MAR 22, 2023",LAL vs. PHX,W,38,10,18,0.556,0,0,0.0,7,10,0.7,1,8,9,5,1,0,1,4,27,13,1
22022,203076,0022201070,"MAR 19, 2023",LAL vs. ORL,W,34,6,15,0.4,0,0,0.0,3,6,0.5,2,9,11,1,2,4,5,4,15,-3,1
22022,203076,0022201054,"MAR 17, 2023",LAL vs. DAL,L,37,9,14,0.643,0,1,0.0,8,11,0.727,3,7,10,3,0,1,2,5,26,1,1
