SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628389,0022201000,"MAR 10, 2023",MIA vs. CLE,W,37,8,12,0.667,0,0,0.0,3,4,0.75,0,6,6,4,3,0,4,5,19,4,1
22022,1628389,0022200987,"MAR 08, 2023",MIA vs. CLE,L,29,8,11,0.727,0,0,0.0,1,2,0.5,1,0,1,1,0,2,3,5,17,-4,1
22022,1628389,0022200974,"MAR 06, 2023",MIA vs. ATL,W,36,5,9,0.556,0,0,0.0,6,6,1.0,0,6,6,5,3,1,2,4,16,-1,1
22022,1628389,0022200958,"MAR 04, 2023",MIA vs. ATL,W,36,10,12,0.833,0,0,0.0,10,12,0.833,3,8,11,5,1,2,2,3,30,16,1
22022,1628389,0022200949,"MAR 03, 2023",MIA vs. NYK,L,39,7,16,0.438,0,0,0.0,4,4,1.0,0,4,4,4,1,2,2,4,18,4,1
22022,1628389,0022200936,"MAR 01, 2023",MIA vs. PHI,L,30,8,13,0.615,0,0,0.0,4,4,1.0,2,6,8,2,1,0,2,0,20,-17,1
22022,1628389,0022200920,"FEB 27, 2023",MIA @ PHI,W,32,4,14,0.286,0,0,0.0,5,6,0.833,2,5,7,2,1,1,5,3,13,-7,1
22022,1628389,0022200904,"FEB 25, 2023",MIA @ CHA,L,31,6,14,0.429,0,0,0.0,2,3,0.667,2,4,6,4,2,0,2,5,14,-15,1
22022,1628389,0022200897,"FEB 24, 2023",MIA @ MIL,L,25,8,17,0.471,0,1,0.0,2,4,0.5,1,6,7,1,1,0,2,1,18,-18,1
22022,1628389,0022200878,"FEB 15, 2023",MIA @ BKN,L,38,10,19,0.526,0,0,0.0,4,7,0.571,2,11,13,6,0,2,2,2,24,-17,1
22022,1628389,0022200861,"FEB 13, 2023",MIA vs. DEN,L,34,6,14,0.429,0,0,0.0,7,7,1.0,0,2,2,2,2,1,1,2,19,-6,1
22022,1628389,0022200848,"FEB 11, 2023",MIA @ ORL,W,43,5,10,0.5,0,1,0.0,3,4,0.75,1,16,17,6,2,1,4,2,13,13,1
22022,1628389,0022200840,"FEB 10, 2023",MIA vs. HOU,W,34,7,11,0.636,0,0,0.0,6,7,0.857,1,8,9,3,2,1,3,5,20,21,1
