SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628378,0022201178,"APR 04, 2023",CLE @ ORL,W,41,15,23,0.652,5,9,0.556,8,9,0.889,0,5,5,4,0,1,3,2,43,10,1
22022,1628378,0022201173,"APR 02, 2023",CLE vs. IND,W,40,14,25,0.56,3,9,0.333,9,12,0.75,0,6,6,1,3,0,5,4,40,16,1
22022,1628378,0022201154,"MAR 31, 2023",CLE vs. NYK,L,40,16,23,0.696,6,9,0.667,4,5,0.8,0,4,4,5,0,1,4,5,42,-8,1
22022,1628378,0022201131,"MAR 28, 2023",CLE @ ATL,L,40,15,33,0.455,5,12,0.417,9,9,1.0,1,4,5,5,2,0,2,3,44,4,1
22022,1628378,0022201117,"MAR 26, 2023",CLE vs. HOU,W,36,8,16,0.5,4,9,0.444,2,2,1.0,2,3,5,1,1,1,1,2,22,24,1
22022,1628378,0022201094,"MAR 23, 2023",CLE @ BKN,W,33,11,24,0.458,3,9,0.333,6,9,0.667,2,4,6,1,0,1,1,3,31,0,1
22022,1628378,0022201079,"MAR 21, 2023",CLE @ BKN,W,37,10,22,0.455,5,9,0.556,6,8,0.75,0,5,5,3,0,0,3,1,31,20,1
22022,1628378,0022201049,"MAR 17, 2023",CLE vs. WAS,W,26,7,17,0.412,0,6,0.0,6,6,1.0,2,4,6,1,1,0,2,2,20,8,1
22022,1628378,0022201035,"MAR 15, 2023",CLE vs. PHI,L,40,9,19,0.474,1,7,0.143,2,3,0.667,1,5,6,3,3,0,1,1,21,-13,1
22022,1628378,0022201015,"MAR 12, 2023",CLE @ CHA,W,33,10,19,0.526,0,6,0.0,3,3,1.0,1,2,3,3,2,0,2,5,23,-13,1
22022,1628378,0022201000,"MAR 10, 2023",CLE @ MIA,L,43,15,30,0.5,8,15,0.533,4,6,0.667,0,3,3,4,1,0,4,4,42,1,1
22022,1628378,0022200987,"MAR 08, 2023",CLE @ MIA,W,34,7,18,0.389,1,7,0.143,3,3,1.0,0,4,4,4,2,0,3,3,18,7,1
22022,1628378,0022200971,"MAR 06, 2023",CLE vs. BOS,W,47,14,34,0.412,4,11,0.364,8,8,1.0,4,7,11,4,0,1,3,2,40,3,1
22022,1628378,0022200957,"MAR 04, 2023",CLE vs. DET,W,24,8,17,0.471,2,6,0.333,2,3,0.667,0,3,3,4,2,1,1,0,20,22,1
22022,1628378,0022200935,"MAR 01, 2023",CLE @ BOS,L,44,17,32,0.531,4,12,0.333,6,7,0.857,1,3,4,5,0,0,2,4,44,-5,1
22022,1628378,0022200914,"FEB 26, 2023",CLE vs. TOR,W,31,13,21,0.619,8,12,0.667,1,1,1.0,1,5,6,4,3,1,3,4,35,12,1
22022,1628378,0022200896,"FEB 24, 2023",CLE @ ATL,L,32,6,17,0.353,2,10,0.2,5,5,1.0,0,1,1,3,1,0,1,4,19,-15,1
22022,1628378,0022200886,"FEB 23, 2023",CLE vs. DEN,L,35,9,22,0.409,2,7,0.286,2,2,1.0,1,2,3,3,4,0,2,3,22,-1,1
22022,1628378,0022200875,"FEB 15, 2023",CLE @ PHI,L,42,11,24,0.458,4,11,0.364,7,8,0.875,3,2,5,5,2,1,2,1,33,-1,1
22022,1628378,0022200858,"FEB 13, 2023",CLE vs. SAS,W,37,16,26,0.615,6,13,0.462,3,4,0.75,1,3,4,5,1,1,2,2,41,17,1
22022,1628378,0022200852,"FEB 11, 2023",CLE vs. CHI,W,39,10,18,0.556,3,7,0.429,6,6,1.0,3,7,10,6,1,2,2,1,29,9,1
22022,1628378,0022200842,"FEB 10, 2023",CLE @ NOP,W,33,12,21,0.571,3,9,0.333,3,3,1.0,0,5,5,3,1,0,3,0,30,17,1
22022,1628378,0022200809,"FEB 06, 2023",CLE @ WAS,W,28,8,16,0.5,3,9,0.333,2,2,1.0,0,6,6,5,1,0,3,1,21,25,1
