SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630198,0022200990,"MAR 08, 2023",OKC @ PHX,L,19,1,8,0.125,1,5,0.2,3,3,1.0,1,0,1,1,1,0,1,0,6,-31,1
22022,1630198,0022200982,"MAR 07, 2023",OKC vs. GSW,W,30,3,7,0.429,3,6,0.5,0,1,0.0,0,0,0,1,1,0,2,0,9,12,1
22022,1630198,0022200968,"MAR 05, 2023",OKC vs. UTA,W,26,2,7,0.286,2,7,0.286,0,0,0.0,0,3,3,1,0,0,1,0,6,5,1
22022,1630198,0022200951,"MAR 03, 2023",OKC vs. UTA,W,27,6,16,0.375,5,13,0.385,0,0,0.0,1,1,2,3,1,0,0,0,17,12,1
22022,1630198,0022200940,"MAR 01, 2023",OKC vs. LAL,L,29,5,11,0.455,3,9,0.333,2,2,1.0,0,2,2,3,1,0,1,5,15,1,1
22022,1630198,0022200928,"FEB 28, 2023",OKC vs. SAC,L,22,3,5,0.6,2,4,0.5,0,0,0.0,0,2,2,1,2,0,0,1,8,0,1
22022,1630198,0022200915,"FEB 26, 2023",OKC vs. SAC,L,28,6,11,0.545,4,8,0.5,8,11,0.727,0,0,0,3,0,0,2,3,24,-5,1
22022,1630198,0022200899,"FEB 24, 2023",OKC @ PHX,L,36,11,17,0.647,6,12,0.5,0,0,0.0,0,7,7,0,0,0,0,4,28,5,1
22022,1630198,0022200892,"FEB 23, 2023",OKC @ UTA,L,21,2,6,0.333,1,4,0.25,0,0,0.0,0,3,3,1,1,0,1,1,5,-1,1
22022,1630198,0022200880,"FEB 15, 2023",OKC vs. HOU,W,17,1,4,0.25,1,3,0.333,4,4,1.0,0,3,3,2,0,0,0,0,7,14,1
22022,1630198,0022200864,"FEB 13, 2023",OKC vs. NOP,L,22,6,13,0.462,4,11,0.364,0,0,0.0,1,2,3,0,0,0,1,1,16,-16,1
22022,1630198,0022200843,"FEB 10, 2023",OKC @ POR,W,23,4,5,0.8,4,4,1.0,0,0,0.0,0,3,3,3,0,0,1,1,12,18,1
22022,1630198,0022200821,"FEB 07, 2023",OKC @ LAL,W,23,5,11,0.455,5,10,0.5,0,0,0.0,1,4,5,2,0,0,0,1,15,15,1
22022,1630198,0022200814,"FEB 06, 2023",OKC @ GSW,L,18,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,0,1,0,1,0,6,-8,1
22022,1630198,0022200799,"FEB 04, 2023",OKC vs. HOU,W,19,6,10,0.6,5,8,0.625,1,1,1.0,0,0,0,2,2,1,1,0,18,14,1
22022,1630198,0022200773,"FEB 01, 2023",OKC @ HOU,L,21,1,6,0.167,1,5,0.2,0,0,0.0,0,0,0,2,1,0,0,1,3,-9,1
22022,1630198,0022200759,"JAN 30, 2023",OKC vs. GSW,L,25,4,7,0.571,2,5,0.4,0,0,0.0,0,3,3,0,0,0,0,3,10,7,1
22022,1630198,0022200739,"JAN 27, 2023",OKC vs. CLE,W,21,1,3,0.333,1,3,0.333,3,3,1.0,0,1,1,0,0,0,2,0,6,12,1
22022,1630198,0022200725,"JAN 25, 2023",OKC vs. ATL,L,14,3,7,0.429,3,7,0.429,0,0,0.0,0,2,2,0,0,0,0,2,9,-1,1
22022,1630198,0022200702,"JAN 22, 2023",OKC @ DEN,W,21,3,9,0.333,2,7,0.286,0,0,0.0,2,0,2,2,1,0,0,2,8,-1,1
22022,1630198,0022200691,"JAN 20, 2023",OKC @ SAC,L,29,7,13,0.538,7,12,0.583,0,0,0.0,1,5,6,0,0,0,0,2,21,0,1
22022,1630198,0022200674,"JAN 18, 2023",OKC vs. IND,W,22,7,12,0.583,7,12,0.583,2,2,1.0,0,4,4,1,2,1,0,2,23,14,1
22022,1630198,0022200651,"JAN 15, 2023",OKC @ BKN,W,19,3,5,0.6,3,4,0.75,0,0,0.0,2,1,3,0,1,1,0,0,9,12,1
22022,1630198,0022200626,"JAN 12, 2023",OKC @ PHI,W,16,2,6,0.333,0,4,0.0,3,4,0.75,1,2,3,0,2,1,1,1,7,24,1
22022,1630198,0022200611,"JAN 10, 2023",OKC @ MIA,L,16,2,7,0.286,2,7,0.286,0,0,0.0,0,3,3,2,0,0,0,2,6,4,1
22022,1630198,0022200602,"JAN 08, 2023",OKC vs. DAL,W,17,1,3,0.333,0,0,0.0,3,3,1.0,0,4,4,2,0,0,0,4,5,1,1
