SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629673,0022200982,"MAR 07, 2023",GSW @ OKC,L,32,4,12,0.333,1,7,0.143,2,2,1.0,0,3,3,3,0,1,0,2,11,-3,1
22022,1629673,0022200964,"MAR 05, 2023",GSW @ LAL,L,28,3,11,0.273,3,10,0.3,1,2,0.5,1,2,3,4,0,0,2,1,10,4,1
22022,1629673,0022200953,"MAR 03, 2023",GSW vs. NOP,W,34,3,13,0.231,0,5,0.0,12,12,1.0,0,2,2,7,1,0,3,2,18,11,1
22022,1629673,0022200945,"MAR 02, 2023",GSW vs. LAC,W,32,9,20,0.45,5,12,0.417,11,12,0.917,2,2,4,3,2,0,3,1,34,19,1
22022,1629673,0022200931,"FEB 28, 2023",GSW vs. POR,W,33,10,24,0.417,3,10,0.3,6,7,0.857,0,5,5,6,0,0,4,3,29,25,1
22022,1629673,0022200916,"FEB 26, 2023",GSW vs. MIN,W,35,5,20,0.25,1,8,0.125,4,5,0.8,1,2,3,4,2,1,4,4,15,8,1
22022,1629673,0022200901,"FEB 24, 2023",GSW vs. HOU,W,31,5,13,0.385,2,8,0.25,3,3,1.0,0,2,2,8,0,0,1,2,15,-3,1
22022,1629673,0022200893,"FEB 23, 2023",GSW @ LAL,L,29,3,13,0.231,2,7,0.286,8,9,0.889,0,1,1,4,2,0,2,3,16,-16,1
22022,1629673,0022200871,"FEB 14, 2023",GSW @ LAC,L,33,10,20,0.5,3,10,0.3,5,6,0.833,0,2,2,6,0,0,0,4,28,-12,1
22022,1629673,0022200866,"FEB 13, 2023",GSW vs. WAS,W,30,4,11,0.364,3,6,0.5,3,5,0.6,1,3,4,4,0,0,4,4,14,-7,1
22022,1629673,0022200853,"FEB 11, 2023",GSW vs. LAL,L,37,11,25,0.44,3,10,0.3,4,4,1.0,0,5,5,6,1,2,3,4,29,-2,1
22022,1629673,0022200830,"FEB 08, 2023",GSW @ POR,L,35,13,25,0.52,7,12,0.583,5,5,1.0,1,0,1,7,0,0,2,2,38,0,1
22022,1629673,0022200814,"FEB 06, 2023",GSW vs. OKC,W,29,8,14,0.571,5,10,0.5,0,0,0.0,1,3,4,12,0,0,4,3,21,28,1
22022,1629673,0022200800,"FEB 04, 2023",GSW vs. DAL,W,27,1,6,0.167,1,3,0.333,0,0,0.0,0,3,3,1,0,0,4,3,3,-4,1
22022,1629673,0022200783,"FEB 02, 2023",GSW @ DEN,L,26,8,15,0.533,4,8,0.5,2,3,0.667,0,3,3,5,1,0,2,4,22,-3,1
