SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628989,0022200997,"MAR 09, 2023",SAC vs. NYK,W,32,6,12,0.5,2,7,0.286,0,0,0.0,1,2,3,2,2,0,0,0,14,5,1
22022,1628989,0022200976,"MAR 06, 2023",SAC vs. NOP,W,37,9,16,0.563,6,10,0.6,1,3,0.333,1,4,5,8,2,1,0,1,25,27,1
22022,1628989,0022200961,"MAR 04, 2023",SAC vs. MIN,L,33,11,15,0.733,6,9,0.667,1,2,0.5,0,0,0,2,2,0,0,3,29,3,1
22022,1628989,0022200954,"MAR 03, 2023",SAC vs. LAC,W,22,6,9,0.667,3,4,0.75,3,3,1.0,0,0,0,0,0,0,1,4,18,-10,1
22022,1628989,0022200928,"FEB 28, 2023",SAC @ OKC,W,33,8,14,0.571,2,6,0.333,2,2,1.0,0,4,4,9,0,0,3,4,20,20,1
22022,1628989,0022200915,"FEB 26, 2023",SAC @ OKC,W,20,3,9,0.333,0,4,0.0,0,0,0.0,1,1,2,2,1,0,4,1,6,7,1
22022,1628989,0022200902,"FEB 24, 2023",SAC @ LAC,W,22,4,8,0.5,3,7,0.429,0,0,0.0,0,4,4,3,2,0,2,1,11,-7,1
22022,1628989,0022200894,"FEB 23, 2023",SAC vs. POR,W,26,4,8,0.5,2,6,0.333,0,0,0.0,1,3,4,0,1,0,1,2,10,3,1
22022,1628989,0022200870,"FEB 14, 2023",SAC @ PHX,L,35,7,14,0.5,4,9,0.444,0,2,0.0,2,1,3,2,1,3,2,4,18,-15,1
22022,1628989,0022200854,"FEB 11, 2023",SAC vs. DAL,W,39,6,14,0.429,3,7,0.429,0,0,0.0,1,7,8,5,2,0,0,4,15,10,1
22022,1628989,0022200844,"FEB 10, 2023",SAC vs. DAL,L,27,6,10,0.6,0,3,0.0,3,4,0.75,0,5,5,1,0,0,2,2,15,1,1
22022,1628989,0022200827,"FEB 08, 2023",SAC @ HOU,W,20,2,7,0.286,1,6,0.167,2,2,1.0,0,0,0,2,1,1,1,1,7,-5,1
22022,1628989,0022200812,"FEB 06, 2023",SAC @ HOU,W,29,7,12,0.583,2,7,0.286,0,0,0.0,0,4,4,4,1,1,1,2,16,11,1
22022,1628989,0022200807,"FEB 05, 2023",SAC @ NOP,L,21,3,8,0.375,2,7,0.286,2,3,0.667,0,0,0,0,1,0,0,4,10,-34,1
22022,1628989,0022200786,"FEB 03, 2023",SAC @ IND,L,36,7,14,0.5,1,7,0.143,1,2,0.5,0,3,3,3,4,0,2,2,16,-4,1
22022,1628989,0022200775,"FEB 01, 2023",SAC @ SAS,W,19,2,5,0.4,1,3,0.333,0,0,0.0,1,0,1,2,0,0,0,1,5,1,1
22022,1628989,0022200758,"JAN 30, 2023",SAC @ MIN,W,22,1,7,0.143,0,5,0.0,1,2,0.5,0,5,5,4,1,0,0,2,3,-7,1
22022,1628989,0022200746,"JAN 28, 2023",SAC @ MIN,L,36,4,12,0.333,2,7,0.286,1,2,0.5,3,4,7,3,0,0,2,3,11,-9,1
22022,1628989,0022200728,"JAN 25, 2023",SAC vs. TOR,L,32,8,12,0.667,5,9,0.556,0,0,0.0,0,4,4,4,1,1,2,1,21,-10,1
22022,1628989,0022200712,"JAN 23, 2023",SAC vs. MEM,W,21,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,0,5,2,1
22022,1628989,0022200698,"JAN 21, 2023",SAC vs. PHI,L,31,8,12,0.667,2,4,0.5,2,2,1.0,1,2,3,3,3,0,0,4,20,12,1
22022,1628989,0022200691,"JAN 20, 2023",SAC vs. OKC,W,35,6,13,0.462,2,7,0.286,0,0,0.0,2,4,6,1,0,1,2,2,14,6,1
22022,1628989,0022200677,"JAN 18, 2023",SAC @ LAL,W,33,7,13,0.538,3,8,0.375,1,2,0.5,1,2,3,8,2,1,1,0,18,30,1
22022,1628989,0022200652,"JAN 15, 2023",SAC @ SAS,W,23,4,11,0.364,1,4,0.25,0,1,0.0,0,2,2,3,0,0,0,1,9,8,1
22022,1628989,0022200610,"JAN 09, 2023",SAC vs. ORL,W,22,5,12,0.417,4,8,0.5,0,0,0.0,0,3,3,4,1,0,2,4,14,17,1
22022,1628989,0022200595,"JAN 07, 2023",SAC vs. LAL,L,40,7,15,0.467,3,9,0.333,0,0,0.0,2,4,6,3,2,1,1,4,17,7,1
22022,1628989,0022200575,"JAN 04, 2023",SAC vs. ATL,L,34,8,15,0.533,4,9,0.444,4,4,1.0,0,3,3,5,1,0,3,4,24,0,1
22022,1628989,0022200563,"JAN 03, 2023",SAC @ UTA,W,32,6,12,0.5,2,6,0.333,2,2,1.0,0,4,4,1,0,0,2,2,16,17,1
22022,1628989,0022200547,"JAN 01, 2023",SAC @ MEM,L,32,4,10,0.4,3,7,0.429,3,3,1.0,0,6,6,5,2,0,1,2,14,-7,1
22022,1628989,0022200537,"DEC 30, 2022",SAC vs. UTA,W,30,12,18,0.667,6,10,0.6,0,0,0.0,1,1,2,2,1,0,1,5,30,5,1
