SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,2544,0022200913,"FEB 26, 2023",LAL @ DAL,W,37,10,23,0.435,1,6,0.167,5,7,0.714,3,5,8,3,1,1,3,4,26,0,1
22022,2544,0022200893,"FEB 23, 2023",LAL vs. GSW,W,26,5,20,0.25,2,6,0.333,1,2,0.5,3,6,9,8,0,0,2,2,13,22,1
22022,2544,0022200882,"FEB 15, 2023",LAL vs. NOP,W,29,7,14,0.5,0,5,0.0,7,10,0.7,0,6,6,6,0,1,4,1,21,14,1
22022,2544,0022200821,"FEB 07, 2023",LAL vs. OKC,L,34,13,20,0.65,4,6,0.667,8,10,0.8,0,7,7,3,3,0,4,3,38,8,1
22022,2544,0022200798,"FEB 04, 2023",LAL @ NOP,L,40,10,22,0.455,1,7,0.143,6,9,0.667,0,9,9,6,0,0,2,2,27,-5,1
22022,2544,0022200778,"FEB 02, 2023",LAL @ IND,W,33,11,19,0.579,2,5,0.4,2,2,1.0,2,5,7,7,0,0,3,1,26,-4,1
22022,2544,0022200765,"JAN 31, 2023",LAL @ NYK,W,43,11,25,0.44,2,8,0.25,4,7,0.571,1,9,10,11,1,0,5,2,28,22,1
22022,2544,0022200749,"JAN 28, 2023",LAL @ BOS,L,44,15,30,0.5,6,12,0.5,5,6,0.833,1,8,9,8,0,0,2,2,41,2,1
22022,2544,0022200729,"JAN 25, 2023",LAL vs. SAS,W,35,8,20,0.4,1,6,0.167,3,4,0.75,1,8,9,11,0,0,6,0,20,2,1
22022,2544,0022200719,"JAN 24, 2023",LAL vs. LAC,L,33,16,29,0.552,9,14,0.643,5,5,1.0,1,7,8,7,2,1,0,0,46,-14,1
22022,2544,0022200705,"JAN 22, 2023",LAL @ POR,W,36,14,24,0.583,2,7,0.286,7,10,0.7,0,11,11,4,0,2,4,2,37,17,1
