SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631101,0022201215,"APR 08, 2023",POR @ LAC,L,37,10,20,0.5,3,9,0.333,3,4,0.75,3,1,4,4,2,0,3,0,26,-12,1
22022,1631101,0022201184,"APR 04, 2023",POR @ MEM,L,29,8,18,0.444,2,8,0.25,2,4,0.5,1,7,8,6,0,0,1,2,20,-12,1
22022,1631101,0022201166,"APR 02, 2023",POR @ MIN,W,35,9,19,0.474,2,7,0.286,7,9,0.778,1,5,6,6,0,0,1,3,27,-3,1
22022,1631101,0022201159,"MAR 31, 2023",POR vs. SAC,L,37,10,20,0.5,4,10,0.4,3,4,0.75,0,3,3,5,1,2,6,1,27,-20,1
22022,1631101,0022201145,"MAR 29, 2023",POR vs. SAC,L,45,10,27,0.37,6,13,0.462,4,4,1.0,0,7,7,7,0,1,3,2,30,-28,1
22022,1631101,0022201127,"MAR 27, 2023",POR vs. NOP,L,35,5,13,0.385,1,4,0.25,1,1,1.0,1,7,8,1,1,0,2,4,12,-36,1
22022,1631101,0022201120,"MAR 26, 2023",POR vs. OKC,L,35,9,13,0.692,3,5,0.6,8,11,0.727,0,5,5,3,0,0,5,3,29,11,1
22022,1631101,0022201104,"MAR 24, 2023",POR vs. CHI,L,38,9,20,0.45,4,11,0.364,2,2,1.0,2,2,4,2,0,1,3,1,24,-19,1
22022,1631101,0022201091,"MAR 22, 2023",POR @ UTA,W,40,9,19,0.474,4,7,0.571,2,3,0.667,2,7,9,3,4,0,1,5,24,28,1
22022,1631101,0022201069,"MAR 19, 2023",POR vs. LAC,L,24,4,6,0.667,2,4,0.5,0,0,0.0,1,0,1,1,3,1,0,1,10,0,1
